device,videoName,luminanceReduction,bitrate,Power
BrandA-Model1,gameplay_4k_10s_luminance_60,0,600,34.54
BrandA-Model1,timescapes_4k_8s_luminance_100,0,600,41.8
BrandA-Model1,tos_4k_10s_luminance_120,0,600,54.839999999999996
BrandA-Model1,tos_4k_10s_luminance_80,0,600,35.4
BrandA-Model2,gameplay_4k_10s_luminance_60,0,600,38.04
BrandA-Model2,timescapes_4k_8s_luminance_100,0,600,45.06
BrandA-Model2,tos_4k_10s_luminance_120,0,600,58.6
BrandA-Model2,tos_4k_10s_luminance_80,0,600,39.38
BrandA-Model3,gameplay_4k_10s_luminance_60,0,600,52.739999999999995
BrandA-Model3,timescapes_4k_8s_luminance_100,0,600,66.78
BrandA-Model3,tos_4k_10s_luminance_120,0,600,107.67999999999999
BrandA-Model3,tos_4k_10s_luminance_80,0,600,54.620000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,0,600,66.88000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,0,600,86.58
BrandB-Model1,tos_4k_10s_luminance_120,0,600,103.88
BrandB-Model1,tos_4k_10s_luminance_80,0,600,68.26
BrandA-Model1,gameplay_4k_10s_luminance_60,0,2400,35.42
BrandA-Model1,timescapes_4k_8s_luminance_100,0,2400,41.019999999999996
BrandA-Model1,tos_4k_10s_luminance_120,0,2400,55.620000000000005
BrandA-Model1,tos_4k_10s_luminance_80,0,2400,35.54
BrandA-Model2,gameplay_4k_10s_luminance_60,0,2400,38.839999999999996
BrandA-Model2,timescapes_4k_8s_luminance_100,0,2400,45.3
BrandA-Model2,tos_4k_10s_luminance_120,0,2400,58.36
BrandA-Model2,tos_4k_10s_luminance_80,0,2400,39.739999999999995
BrandA-Model3,gameplay_4k_10s_luminance_60,0,2400,54.279999999999994
BrandA-Model3,timescapes_4k_8s_luminance_100,0,2400,68.88
BrandA-Model3,tos_4k_10s_luminance_120,0,2400,108.8
BrandA-Model3,tos_4k_10s_luminance_80,0,2400,55.6
BrandB-Model1,gameplay_4k_10s_luminance_60,0,2400,65.78
BrandB-Model1,timescapes_4k_8s_luminance_100,0,2400,87.0
BrandB-Model1,tos_4k_10s_luminance_120,0,2400,104.0
BrandB-Model1,tos_4k_10s_luminance_80,0,2400,70.72
BrandA-Model1,gameplay_4k_10s_luminance_60,0,4500,36.5
BrandA-Model1,timescapes_4k_8s_luminance_100,0,4500,42.22
BrandA-Model1,tos_4k_10s_luminance_120,0,4500,56.379999999999995
BrandA-Model1,tos_4k_10s_luminance_80,0,4500,35.6
BrandA-Model2,gameplay_4k_10s_luminance_60,0,4500,39.04
BrandA-Model2,timescapes_4k_8s_luminance_100,0,4500,46.72
BrandA-Model2,tos_4k_10s_luminance_120,0,4500,57.92
BrandA-Model2,tos_4k_10s_luminance_80,0,4500,40.0
BrandA-Model3,gameplay_4k_10s_luminance_60,0,4500,54.760000000000005
BrandA-Model3,timescapes_4k_8s_luminance_100,0,4500,68.08
BrandA-Model3,tos_4k_10s_luminance_120,0,4500,110.6
BrandA-Model3,tos_4k_10s_luminance_80,0,4500,55.260000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,0,4500,66.26
BrandB-Model1,timescapes_4k_8s_luminance_100,0,4500,86.96000000000001
BrandB-Model1,tos_4k_10s_luminance_120,0,4500,104.0
BrandB-Model1,tos_4k_10s_luminance_80,0,4500,70.66
BrandA-Model1,gameplay_4k_10s_luminance_60,0,11600,35.56
BrandA-Model1,timescapes_4k_8s_luminance_100,0,11600,42.93333333333334
BrandA-Model1,tos_4k_10s_luminance_120,0,11600,56.36
BrandA-Model1,tos_4k_10s_luminance_80,0,11600,35.5
BrandA-Model2,gameplay_4k_10s_luminance_60,0,11600,39.3
BrandA-Model2,timescapes_4k_8s_luminance_100,0,11600,46.56
BrandA-Model2,tos_4k_10s_luminance_120,0,11600,61.82000000000001
BrandA-Model2,tos_4k_10s_luminance_80,0,11600,40.225
BrandA-Model3,gameplay_4k_10s_luminance_60,0,11600,56.94
BrandA-Model3,timescapes_4k_8s_luminance_100,0,11600,67.375
BrandA-Model3,tos_4k_10s_luminance_120,0,11600,110.2
BrandA-Model3,tos_4k_10s_luminance_80,0,11600,56.375
BrandB-Model1,gameplay_4k_10s_luminance_60,0,11600,66.1
BrandB-Model1,timescapes_4k_8s_luminance_100,0,11600,86.66
BrandB-Model1,tos_4k_10s_luminance_120,0,11600,104.6
BrandB-Model1,tos_4k_10s_luminance_80,0,11600,70.14
BrandA-Model1,gameplay_4k_10s_luminance_60,1,600,34.5
BrandA-Model1,timescapes_4k_8s_luminance_100,1,600,41.42
BrandA-Model1,tos_4k_10s_luminance_120,1,600,53.36
BrandA-Model1,tos_4k_10s_luminance_80,1,600,34.9
BrandA-Model2,gameplay_4k_10s_luminance_60,1,600,38.019999999999996
BrandA-Model2,timescapes_4k_8s_luminance_100,1,600,44.32
BrandA-Model2,tos_4k_10s_luminance_120,1,600,57.67999999999999
BrandA-Model2,tos_4k_10s_luminance_80,1,600,39.239999999999995
BrandA-Model3,gameplay_4k_10s_luminance_60,1,600,53.339999999999996
BrandA-Model3,timescapes_4k_8s_luminance_100,1,600,64.44000000000001
BrandA-Model3,tos_4k_10s_luminance_120,1,600,107.6
BrandA-Model3,tos_4k_10s_luminance_80,1,600,54.379999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,1,600,65.3
BrandB-Model1,timescapes_4k_8s_luminance_100,1,600,84.0
BrandB-Model1,tos_4k_10s_luminance_120,1,600,104.6
BrandB-Model1,tos_4k_10s_luminance_80,1,600,68.96
BrandA-Model1,gameplay_4k_10s_luminance_60,1,2400,35.14
BrandA-Model1,timescapes_4k_8s_luminance_100,1,2400,41.3
BrandA-Model1,tos_4k_10s_luminance_120,1,2400,55.339999999999996
BrandA-Model1,tos_4k_10s_luminance_80,1,2400,34.82
BrandA-Model2,gameplay_4k_10s_luminance_60,1,2400,38.36
BrandA-Model2,timescapes_4k_8s_luminance_100,1,2400,44.875
BrandA-Model2,tos_4k_10s_luminance_120,1,2400,57.98
BrandA-Model2,tos_4k_10s_luminance_80,1,2400,38.98
BrandA-Model3,gameplay_4k_10s_luminance_60,1,2400,53.0
BrandA-Model3,timescapes_4k_8s_luminance_100,1,2400,65.1
BrandA-Model3,tos_4k_10s_luminance_120,1,2400,105.62
BrandA-Model3,tos_4k_10s_luminance_80,1,2400,53.760000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,1,2400,64.76
BrandB-Model1,timescapes_4k_8s_luminance_100,1,2400,84.4
BrandB-Model1,tos_4k_10s_luminance_120,1,2400,100.06
BrandB-Model1,tos_4k_10s_luminance_80,1,2400,69.14
BrandA-Model1,gameplay_4k_10s_luminance_60,1,4500,36.2
BrandA-Model1,timescapes_4k_8s_luminance_100,1,4500,41.459999999999994
BrandA-Model1,tos_4k_10s_luminance_120,1,4500,55.36
BrandA-Model1,tos_4k_10s_luminance_80,1,4500,35.44
BrandA-Model2,gameplay_4k_10s_luminance_60,1,4500,39.62
BrandA-Model2,timescapes_4k_8s_luminance_100,1,4500,44.94
BrandA-Model2,tos_4k_10s_luminance_120,1,4500,58.160000000000004
BrandA-Model2,tos_4k_10s_luminance_80,1,4500,39.480000000000004
BrandA-Model3,gameplay_4k_10s_luminance_60,1,4500,54.4
BrandA-Model3,timescapes_4k_8s_luminance_100,1,4500,67.24
BrandA-Model3,tos_4k_10s_luminance_120,1,4500,103.8
BrandA-Model3,tos_4k_10s_luminance_80,1,4500,55.08
BrandB-Model1,gameplay_4k_10s_luminance_60,1,4500,65.53999999999999
BrandB-Model1,timescapes_4k_8s_luminance_100,1,4500,84.52000000000001
BrandB-Model1,tos_4k_10s_luminance_120,1,4500,102.2
BrandB-Model1,tos_4k_10s_luminance_80,1,4500,68.22
BrandA-Model1,gameplay_4k_10s_luminance_60,1,11600,35.38
BrandA-Model1,timescapes_4k_8s_luminance_100,1,11600,42.239999999999995
BrandA-Model1,tos_4k_10s_luminance_120,1,11600,56.7
BrandA-Model1,tos_4k_10s_luminance_80,1,11600,36.08
BrandA-Model2,gameplay_4k_10s_luminance_60,1,11600,38.980000000000004
BrandA-Model2,timescapes_4k_8s_luminance_100,1,11600,45.2
BrandA-Model2,tos_4k_10s_luminance_120,1,11600,59.04
BrandA-Model2,tos_4k_10s_luminance_80,1,11600,39.88
BrandA-Model3,gameplay_4k_10s_luminance_60,1,11600,56.2
BrandA-Model3,timescapes_4k_8s_luminance_100,1,11600,66.0
BrandA-Model3,tos_4k_10s_luminance_120,1,11600,105.24000000000001
BrandA-Model3,tos_4k_10s_luminance_80,1,11600,55.379999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,1,11600,65.74000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,1,11600,84.8
BrandB-Model1,tos_4k_10s_luminance_120,1,11600,101.36
BrandB-Model1,tos_4k_10s_luminance_80,1,11600,68.97999999999999
BrandA-Model1,gameplay_4k_10s_luminance_60,2,600,34.44
BrandA-Model1,timescapes_4k_8s_luminance_100,2,600,39.86
BrandA-Model1,tos_4k_10s_luminance_120,2,600,55.32000000000001
BrandA-Model1,tos_4k_10s_luminance_80,2,600,35.14
BrandA-Model2,gameplay_4k_10s_luminance_60,2,600,37.739999999999995
BrandA-Model2,timescapes_4k_8s_luminance_100,2,600,43.519999999999996
BrandA-Model2,tos_4k_10s_luminance_120,2,600,57.02
BrandA-Model2,tos_4k_10s_luminance_80,2,600,38.5
BrandA-Model3,gameplay_4k_10s_luminance_60,2,600,51.8
BrandA-Model3,timescapes_4k_8s_luminance_100,2,600,65.6
BrandA-Model3,tos_4k_10s_luminance_120,2,600,101.92
BrandA-Model3,tos_4k_10s_luminance_80,2,600,53.64
BrandB-Model1,gameplay_4k_10s_luminance_60,2,600,64.52000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,2,600,83.8
BrandB-Model1,tos_4k_10s_luminance_120,2,600,100.06
BrandB-Model1,tos_4k_10s_luminance_80,2,600,67.86
BrandA-Model1,gameplay_4k_10s_luminance_60,2,2400,35.32
BrandA-Model1,timescapes_4k_8s_luminance_100,2,2400,41.18
BrandA-Model1,tos_4k_10s_luminance_120,2,2400,53.1
BrandA-Model1,tos_4k_10s_luminance_80,2,2400,35.06
BrandA-Model2,gameplay_4k_10s_luminance_60,2,2400,38.44
BrandA-Model2,timescapes_4k_8s_luminance_100,2,2400,44.6
BrandA-Model2,tos_4k_10s_luminance_120,2,2400,58.67999999999999
BrandA-Model2,tos_4k_10s_luminance_80,2,2400,39.36
BrandA-Model3,gameplay_4k_10s_luminance_60,2,2400,52.8
BrandA-Model3,timescapes_4k_8s_luminance_100,2,2400,65.56
BrandA-Model3,tos_4k_10s_luminance_120,2,2400,102.75999999999999
BrandA-Model3,tos_4k_10s_luminance_80,2,2400,53.98
BrandB-Model1,gameplay_4k_10s_luminance_60,2,2400,64.92
BrandB-Model1,timescapes_4k_8s_luminance_100,2,2400,83.4
BrandB-Model1,tos_4k_10s_luminance_120,2,2400,101.1
BrandB-Model1,tos_4k_10s_luminance_80,2,2400,68.74
BrandA-Model1,gameplay_4k_10s_luminance_60,2,4500,35.64
BrandA-Model1,timescapes_4k_8s_luminance_100,2,4500,41.14
BrandA-Model1,tos_4k_10s_luminance_120,2,4500,54.42
BrandA-Model1,tos_4k_10s_luminance_80,2,4500,34.88
BrandA-Model2,gameplay_4k_10s_luminance_60,2,4500,39.46
BrandA-Model2,timescapes_4k_8s_luminance_100,2,4500,45.22
BrandA-Model2,tos_4k_10s_luminance_120,2,4500,56.98
BrandA-Model2,tos_4k_10s_luminance_80,2,4500,39.68
BrandA-Model3,gameplay_4k_10s_luminance_60,2,4500,54.339999999999996
BrandA-Model3,timescapes_4k_8s_luminance_100,2,4500,66.34
BrandA-Model3,tos_4k_10s_luminance_120,2,4500,104.0
BrandA-Model3,tos_4k_10s_luminance_80,2,4500,53.620000000000005
BrandB-Model1,gameplay_4k_10s_luminance_60,2,4500,65.36
BrandB-Model1,timescapes_4k_8s_luminance_100,2,4500,85.14
BrandB-Model1,tos_4k_10s_luminance_120,2,4500,101.2
BrandB-Model1,tos_4k_10s_luminance_80,2,4500,69.08
BrandA-Model1,gameplay_4k_10s_luminance_60,2,11600,35.0
BrandA-Model1,timescapes_4k_8s_luminance_100,2,11600,41.5
BrandA-Model1,tos_4k_10s_luminance_120,2,11600,53.98
BrandA-Model1,tos_4k_10s_luminance_80,2,11600,35.239999999999995
BrandA-Model2,gameplay_4k_10s_luminance_60,2,11600,38.68
BrandA-Model2,timescapes_4k_8s_luminance_100,2,11600,43.94
BrandA-Model2,tos_4k_10s_luminance_120,2,11600,59.14
BrandA-Model2,tos_4k_10s_luminance_80,2,11600,39.94
BrandA-Model3,gameplay_4k_10s_luminance_60,2,11600,55.17999999999999
BrandA-Model3,timescapes_4k_8s_luminance_100,2,11600,66.74000000000001
BrandA-Model3,tos_4k_10s_luminance_120,2,11600,105.8
BrandA-Model3,tos_4k_10s_luminance_80,2,11600,55.239999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,2,11600,66.26
BrandB-Model1,timescapes_4k_8s_luminance_100,2,11600,82.82000000000001
BrandB-Model1,tos_4k_10s_luminance_120,2,11600,101.24
BrandB-Model1,tos_4k_10s_luminance_80,2,11600,68.58
BrandA-Model1,gameplay_4k_10s_luminance_60,3,600,34.14
BrandA-Model1,timescapes_4k_8s_luminance_100,3,600,39.760000000000005
BrandA-Model1,tos_4k_10s_luminance_120,3,600,53.56
BrandA-Model1,tos_4k_10s_luminance_80,3,600,34.9
BrandA-Model2,gameplay_4k_10s_luminance_60,3,600,37.7
BrandA-Model2,timescapes_4k_8s_luminance_100,3,600,43.58
BrandA-Model2,tos_4k_10s_luminance_120,3,600,56.5
BrandA-Model2,tos_4k_10s_luminance_80,3,600,38.660000000000004
BrandA-Model3,gameplay_4k_10s_luminance_60,3,600,52.32000000000001
BrandA-Model3,timescapes_4k_8s_luminance_100,3,600,64.25999999999999
BrandA-Model3,tos_4k_10s_luminance_120,3,600,101.08
BrandA-Model3,tos_4k_10s_luminance_80,3,600,53.54
BrandB-Model1,gameplay_4k_10s_luminance_60,3,600,64.16
BrandB-Model1,timescapes_4k_8s_luminance_100,3,600,82.06
BrandB-Model1,tos_4k_10s_luminance_120,3,600,99.53999999999999
BrandB-Model1,tos_4k_10s_luminance_80,3,600,67.1
BrandA-Model1,gameplay_4k_10s_luminance_60,3,2400,34.92
BrandA-Model1,timescapes_4k_8s_luminance_100,3,2400,41.019999999999996
BrandA-Model1,tos_4k_10s_luminance_120,3,2400,54.82000000000001
BrandA-Model1,tos_4k_10s_luminance_80,3,2400,34.760000000000005
BrandA-Model2,gameplay_4k_10s_luminance_60,3,2400,38.160000000000004
BrandA-Model2,timescapes_4k_8s_luminance_100,3,2400,43.839999999999996
BrandA-Model2,tos_4k_10s_luminance_120,3,2400,57.64
BrandA-Model2,tos_4k_10s_luminance_80,3,2400,39.2
BrandA-Model3,gameplay_4k_10s_luminance_60,3,2400,53.06
BrandA-Model3,timescapes_4k_8s_luminance_100,3,2400,62.379999999999995
BrandA-Model3,tos_4k_10s_luminance_120,3,2400,103.6
BrandA-Model3,tos_4k_10s_luminance_80,3,2400,53.5
BrandB-Model1,gameplay_4k_10s_luminance_60,3,2400,64.24
BrandB-Model1,timescapes_4k_8s_luminance_100,3,2400,81.62
BrandB-Model1,tos_4k_10s_luminance_120,3,2400,101.08
BrandB-Model1,tos_4k_10s_luminance_80,3,2400,67.44
BrandA-Model1,gameplay_4k_10s_luminance_60,3,4500,35.760000000000005
BrandA-Model1,timescapes_4k_8s_luminance_100,3,4500,41.160000000000004
BrandA-Model1,tos_4k_10s_luminance_120,3,4500,53.839999999999996
BrandA-Model1,tos_4k_10s_luminance_80,3,4500,34.839999999999996
BrandA-Model2,gameplay_4k_10s_luminance_60,3,4500,38.8
BrandA-Model2,timescapes_4k_8s_luminance_100,3,4500,44.459999999999994
BrandA-Model2,tos_4k_10s_luminance_120,3,4500,57.56
BrandA-Model2,tos_4k_10s_luminance_80,3,4500,38.46
BrandA-Model3,gameplay_4k_10s_luminance_60,3,4500,53.779999999999994
BrandA-Model3,timescapes_4k_8s_luminance_100,3,4500,65.03999999999999
BrandA-Model3,tos_4k_10s_luminance_120,3,4500,100.17999999999999
BrandA-Model3,tos_4k_10s_luminance_80,3,4500,53.04
BrandB-Model1,gameplay_4k_10s_luminance_60,3,4500,64.7
BrandB-Model1,timescapes_4k_8s_luminance_100,3,4500,84.06
BrandB-Model1,tos_4k_10s_luminance_120,3,4500,101.14
BrandB-Model1,tos_4k_10s_luminance_80,3,4500,68.5
BrandA-Model1,gameplay_4k_10s_luminance_60,3,11600,35.14
BrandA-Model1,timescapes_4k_8s_luminance_100,3,11600,41.08
BrandA-Model1,tos_4k_10s_luminance_120,3,11600,54.94
BrandA-Model1,tos_4k_10s_luminance_80,3,11600,35.44
BrandA-Model2,gameplay_4k_10s_luminance_60,3,11600,38.9
BrandA-Model2,timescapes_4k_8s_luminance_100,3,11600,44.339999999999996
BrandA-Model2,tos_4k_10s_luminance_120,3,11600,57.4
BrandA-Model2,tos_4k_10s_luminance_80,3,11600,39.260000000000005
BrandA-Model3,gameplay_4k_10s_luminance_60,3,11600,54.739999999999995
BrandA-Model3,timescapes_4k_8s_luminance_100,3,11600,65.34
BrandA-Model3,tos_4k_10s_luminance_120,3,11600,105.4
BrandA-Model3,tos_4k_10s_luminance_80,3,11600,54.739999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,3,11600,65.64
BrandB-Model1,timescapes_4k_8s_luminance_100,3,11600,81.88
BrandB-Model1,tos_4k_10s_luminance_120,3,11600,98.88
BrandB-Model1,tos_4k_10s_luminance_80,3,11600,67.56
BrandA-Model1,gameplay_4k_10s_luminance_60,4,600,34.160000000000004
BrandA-Model1,timescapes_4k_8s_luminance_100,4,600,38.559999999999995
BrandA-Model1,tos_4k_10s_luminance_120,4,600,53.3
BrandA-Model1,tos_4k_10s_luminance_80,4,600,34.42
BrandA-Model2,gameplay_4k_10s_luminance_60,4,600,37.56
BrandA-Model2,timescapes_4k_8s_luminance_100,4,600,43.1
BrandA-Model2,tos_4k_10s_luminance_120,4,600,56.96
BrandA-Model2,tos_4k_10s_luminance_80,4,600,38.760000000000005
BrandA-Model3,gameplay_4k_10s_luminance_60,4,600,51.9
BrandA-Model3,timescapes_4k_8s_luminance_100,4,600,62.54
BrandA-Model3,tos_4k_10s_luminance_120,4,600,102.0
BrandA-Model3,tos_4k_10s_luminance_80,4,600,52.04
BrandB-Model1,gameplay_4k_10s_luminance_60,4,600,64.12
BrandB-Model1,timescapes_4k_8s_luminance_100,4,600,81.06
BrandB-Model1,tos_4k_10s_luminance_120,4,600,98.4
BrandB-Model1,tos_4k_10s_luminance_80,4,600,65.94
BrandA-Model1,gameplay_4k_10s_luminance_60,4,2400,34.54
BrandA-Model1,timescapes_4k_8s_luminance_100,4,2400,39.58
BrandA-Model1,tos_4k_10s_luminance_120,4,2400,53.54
BrandA-Model1,tos_4k_10s_luminance_80,4,2400,34.86
BrandA-Model2,gameplay_4k_10s_luminance_60,4,2400,38.06
BrandA-Model2,timescapes_4k_8s_luminance_100,4,2400,43.46
BrandA-Model2,tos_4k_10s_luminance_120,4,2400,56.260000000000005
BrandA-Model2,tos_4k_10s_luminance_80,4,2400,37.980000000000004
BrandA-Model3,gameplay_4k_10s_luminance_60,4,2400,53.1
BrandA-Model3,timescapes_4k_8s_luminance_100,4,2400,63.760000000000005
BrandA-Model3,tos_4k_10s_luminance_120,4,2400,100.36
BrandA-Model3,tos_4k_10s_luminance_80,4,2400,53.2
BrandB-Model1,gameplay_4k_10s_luminance_60,4,2400,64.22
BrandB-Model1,timescapes_4k_8s_luminance_100,4,2400,81.72
BrandB-Model1,tos_4k_10s_luminance_120,4,2400,99.38
BrandB-Model1,tos_4k_10s_luminance_80,4,2400,66.8
BrandA-Model1,gameplay_4k_10s_luminance_60,4,4500,35.4
BrandA-Model1,timescapes_4k_8s_luminance_100,4,4500,40.64
BrandA-Model1,tos_4k_10s_luminance_120,4,4500,53.2
BrandA-Model1,tos_4k_10s_luminance_80,4,4500,34.82
BrandA-Model2,gameplay_4k_10s_luminance_60,4,4500,38.739999999999995
BrandA-Model2,timescapes_4k_8s_luminance_100,4,4500,43.8
BrandA-Model2,tos_4k_10s_luminance_120,4,4500,56.7
BrandA-Model2,tos_4k_10s_luminance_80,4,4500,38.18
BrandA-Model3,gameplay_4k_10s_luminance_60,4,4500,53.379999999999995
BrandA-Model3,timescapes_4k_8s_luminance_100,4,4500,64.74
BrandA-Model3,tos_4k_10s_luminance_120,4,4500,104.2
BrandA-Model3,tos_4k_10s_luminance_80,4,4500,53.17999999999999
BrandB-Model1,gameplay_4k_10s_luminance_60,4,4500,64.3
BrandB-Model1,timescapes_4k_8s_luminance_100,4,4500,80.82000000000001
BrandB-Model1,tos_4k_10s_luminance_120,4,4500,101.0
BrandB-Model1,tos_4k_10s_luminance_80,4,4500,67.02
BrandA-Model1,gameplay_4k_10s_luminance_60,4,11600,35.12
BrandA-Model1,timescapes_4k_8s_luminance_100,4,11600,40.5
BrandA-Model1,tos_4k_10s_luminance_120,4,11600,55.02
BrandA-Model1,tos_4k_10s_luminance_80,4,11600,34.94
BrandA-Model2,gameplay_4k_10s_luminance_60,4,11600,38.660000000000004
BrandA-Model2,timescapes_4k_8s_luminance_100,4,11600,43.74
BrandA-Model2,tos_4k_10s_luminance_120,4,11600,57.44
BrandA-Model2,tos_4k_10s_luminance_80,4,11600,39.160000000000004
BrandA-Model3,gameplay_4k_10s_luminance_60,4,11600,54.620000000000005
BrandA-Model3,timescapes_4k_8s_luminance_100,4,11600,63.675
BrandA-Model3,tos_4k_10s_luminance_120,4,11600,103.05999999999999
BrandA-Model3,tos_4k_10s_luminance_80,4,11600,54.0
BrandB-Model1,gameplay_4k_10s_luminance_60,4,11600,64.97999999999999
BrandB-Model1,timescapes_4k_8s_luminance_100,4,11600,82.74000000000001
BrandB-Model1,tos_4k_10s_luminance_120,4,11600,98.42
BrandB-Model1,tos_4k_10s_luminance_80,4,11600,66.66
BrandA-Model1,gameplay_4k_10s_luminance_60,5,600,33.64
BrandA-Model1,timescapes_4k_8s_luminance_100,5,600,38.3
BrandA-Model1,tos_4k_10s_luminance_120,5,600,51.82000000000001
BrandA-Model1,tos_4k_10s_luminance_80,5,600,34.1
BrandA-Model2,gameplay_4k_10s_luminance_60,5,600,37.019999999999996
BrandA-Model2,timescapes_4k_8s_luminance_100,5,600,42.480000000000004
BrandA-Model2,tos_4k_10s_luminance_120,5,600,54.620000000000005
BrandA-Model2,tos_4k_10s_luminance_80,5,600,38.019999999999996
BrandA-Model3,gameplay_4k_10s_luminance_60,5,600,50.78
BrandA-Model3,timescapes_4k_8s_luminance_100,5,600,60.660000000000004
BrandA-Model3,tos_4k_10s_luminance_120,5,600,95.46000000000001
BrandA-Model3,tos_4k_10s_luminance_80,5,600,52.42
BrandB-Model1,gameplay_4k_10s_luminance_60,5,600,63.720000000000006
BrandB-Model1,timescapes_4k_8s_luminance_100,5,600,79.28
BrandB-Model1,tos_4k_10s_luminance_120,5,600,96.66
BrandB-Model1,tos_4k_10s_luminance_80,5,600,65.78
BrandA-Model1,gameplay_4k_10s_luminance_60,5,2400,34.4
BrandA-Model1,timescapes_4k_8s_luminance_100,5,2400,39.08
BrandA-Model1,tos_4k_10s_luminance_120,5,2400,52.36
BrandA-Model1,tos_4k_10s_luminance_80,5,2400,34.519999999999996
BrandA-Model2,gameplay_4k_10s_luminance_60,5,2400,37.78
BrandA-Model2,timescapes_4k_8s_luminance_100,5,2400,41.6
BrandA-Model2,tos_4k_10s_luminance_120,5,2400,55.720000000000006
BrandA-Model2,tos_4k_10s_luminance_80,5,2400,38.38
BrandA-Model3,gameplay_4k_10s_luminance_60,5,2400,52.08
BrandA-Model3,timescapes_4k_8s_luminance_100,5,2400,60.32000000000001
BrandA-Model3,tos_4k_10s_luminance_120,5,2400,99.22
BrandA-Model3,tos_4k_10s_luminance_80,5,2400,52.279999999999994
BrandB-Model1,gameplay_4k_10s_luminance_60,5,2400,63.58
BrandB-Model1,timescapes_4k_8s_luminance_100,5,2400,80.9
BrandB-Model1,tos_4k_10s_luminance_120,5,2400,97.16
BrandB-Model1,tos_4k_10s_luminance_80,5,2400,65.66
